course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ARTH 416,ARTH,416,The Archaeology of Italy,3 Hours,Same as CLCV 444. See CLCV 444.,,,,,,
ARTH 423,ARTH,423,Romanesque Art,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.",Art and architecture of the Romanesque period. Same as MDVL 423. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing or consent of instructor.,Prerequisite: Junior standing or consent of instructor.,,,,,
ARTH 424,ARTH,424,Gothic Art,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.",Arts of western Europe from the end of the Romanesque period until the Renaissance. Same as MDVL 424. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing or consent of instructor.,Prerequisite: Junior standing or consent of instructor.,,,,,
ARTH 430,ARTH,430,Topics: Italian Art 1300-1500,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Special topics in the history of painting, sculpture, and architecture of Italy during the Renaissance selected for intensive study. 3 undergraduate hours. 3 or 4 graduate hours. May be repeated in separate terms to a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: Junior standing or consent of instructor.",Prerequisite: Junior standing or consent of instructor.,,,,,
ARTH 431,ARTH,431,Topics: Northern Art 1300-1500,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Special topics in the history of painting, sculpture, and minor arts of France, Germany, Spain, and England during the Renaissance selected for intensive study. Same as MDVL 431. 3 undergraduate hours. 3 or 4 graduate hours. May be repeated to a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: Junior standing or consent of instructor.",Prerequisite: Junior standing or consent of instructor.,,,,,
ARTH 432,ARTH,432,Sixteenth-Century Italian Art,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Painting, sculpture, and architecture in Italy from 1500 to 1580. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing or consent of instructor.",Prerequisite: Junior standing or consent of instructor.,,,,,
ARTH 433,ARTH,433,Fifteenth-Century Italian Art,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Study of Italian painting, sculpture and architecture from circa 1300 to 1500. Same as MDVL 433. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing or consent of instructor.",Prerequisite: Junior standing or consent of instructor.,,,,,
ARTH 435,ARTH,435,Italian Baroque Art,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Italian painting and sculpture during the period 1580-1700, with particular emphasis on art in Rome. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing or consent of instructor.",Prerequisite: Junior standing or consent of instructor.,,,,,
ARTH 436,ARTH,436,17th-Century Dutch & Flemish Art,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Explores the functions of visual arts in the Netherlands in relation to shifting political and religious contexts; evolving notions of privacy, domesticity and subjectivity; the study of nature; and the expanding capital-based wealth of Northern Europe founded upon global trade. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: Junior standing or consent of instructor.",Prerequisite: Junior standing or consent of instructor.,,,,,
ARTH 438,ARTH,438,Modernity’s Mirror: Nineteenth-Century Architecture 1750-1900,3 Hours,Same as ARCH 415. See ARCH 415.,,,,,,
