course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
GWS 378,GWS,378,Fairy Tales & Gender Formation,3 Hours,"Discusses how femininity and gender formation are related through fairy tales. As children grow they are taught the difference between male and female roles. One of the main ways this instruction takes place is through the pleasurable media of fairy tales in books, poems, and more recently, films. Sleeping Beauty, Snow White, Beauty and the Best, and the Little Mermaid, among others, will be examined to understand how sexual identity is constructed differently in different cultures, and how issues such as rape and incest are addressed within the narratives. The readings explore the ways that fairy tales work to express psychological reactions to maturation while conditioning both characters and readers to adopt specific social roles in adulthood. Same as ENGL 378.",,,,,,
GWS 380,GWS,380,Black Women Hist & Cultures,3 Hours,"Interdisciplinary study of black women's multiple histories and varied cultures including black women from North America, Africa, and the Caribbean. Same as AFRO 380. Prerequisite: AFRO 100 or GWS 100 or GWS 250 or consent of instructor.",Prerequisite: AFRO 100 or GWS 100 or GWS 250 or consent of instructor.,,,,,
GWS 382,GWS,382,Black Women & Popular Culture,3 Hours,"Explores how Black women have been are currently portrayed in popular media, such as television, internet, movies, and popular mediums such as magazines, popular fiction, newspapers, and other cultural phenomenon. Examines what these portrayals reveal about Black women's role in society and how black women as consumer and participants respond to these stereotypes, and create alternative oppositional images.",,,,,,
GWS 383,GWS,383,Hist of Blk Women's Activism,3 Hours,Same as AFRO 383 and HIST 383. See AFRO 383.,,,,,,
GWS 385,GWS,385,Transnational Sexualities,3 Hours,"Investigates the ways in which sexual identities change as national contexts change, as borders are imagined, valued, and crossed, and as definitions of race, gender, and religion shift. Interrogates how national and transnational identities (at home and abroad), modernites, histories, and colonial and global narratives are built on ideas of racialized sexualities, and as such, is particularly interested in the study of queer diaspora. Importantly, this course utilizes transnational feminist frameworks for re-thinking issues related to sexuality, immigration, nation-building, race and gender. Areas of inquiry include imperialism, immigration, war, tourism and globalization. Same as HIST 385. Prerequisite: GWS 100, GWS 201 or GWS 202 or consent of instructor.","Prerequisite: GWS 100, GWS 201 or GWS 202 or consent of instructor.",,,,,
GWS 387,GWS,387,History of Sexuality in U.S.,3 Hours,"Explores a wide variety of sources to understand how notions of sexuality have emerged and been contested at key moments in U.S. history. Our guiding questions include: How have ""official"" or governing discourses of sexuality (in law, medicine, religions, science) been formulated? In turn, how have ""ordinary"" people understood and practiced their sexuality? How has the meaning of particular sexual practices changed over time? How have ideas about race, gender, and/or class been embedded within the discourse of sexuality at different moments in U.S. history? What methods of reading and interpretation are most useful for the historical study of sexuality? Also emphasizes skills such as critically analyzing primary sources within their historical context; interpreting different types of primary sources; locating, understanding, and evaluating scholarly secondary sources; and presenting historical arguments, based on both primary and secondary sources. Same as HIST 387.",,,,,,
GWS 390,GWS,390,Individual Study,0 to 3 Hours,Special topics not treated in regularly scheduled classes. Approved for letter and S/U grading. May be repeated to a maximum of 6 hours if topics vary. Prerequisite: One course in Gender and Women's Studies; consent of instructor.,Prerequisite: One course in Gender and Women's Studies; consent of instructor.,,,,,
GWS 392,GWS,392,Chicanas&Latinas: Self&Society,3 Hours,Same as LLS 392 and SOC 392. See LLS 392.,,,Advanced Composition,,,
GWS 393,GWS,393,Policing Latinx Immigrant Communities,3 Hours,"Examines key historical episodes and range of state institutions that have shaped and justified policing of Latinx communities throughout the United States. Centers the ways that gender and sexuality shape the diversity of Latinx experiences. Addresses topics such as formation of US-Mexico border, turn to urban policing, rise of crimmigration, and activist strategies. Interdisciplinary course materials include legal studies, cultural studies, and ethnography.",,,Cultural Studies - US Minority,,,
GWS 395,GWS,395,Intermediate Topics GWS,3 Hours,Approved for letter and S/U grading. May be repeated in the same term to a maximum of 9 hours; may be repeated in separate terms to a maximum of 12 hours.,,,,,,
GWS 397,GWS,397,Sexuality in Modern Europe,3 Hours,Couse Information: Same as HIST 397. See HIST 397.,,,,,,
GWS 399,GWS,399,GWS Internship,3 Hours,"Directed internship experience for GWS students. Students will complete course requirements in addition to holding a semester long internship. Students must have consent of the Internship Coordinator. Approved for Letter and S/U grading. Prerequisite: GWS major or minor; junior or senior standing and completion of six hours of coursework in GWS, or consent of the instructor.","Prerequisite: GWS major or minor; junior or senior standing and completion of six hours of coursework in GWS, or consent of the instructor.",,,,,
GWS 403,GWS,403,Women in Muslim Societies,3 or 4 Hours,"Same as ANTH 403, GLBL 403, HIST 434, REL 403 and SAME 403. See REL 403.",,,,,,
GWS 409,GWS,409,Women's Health,3 Hours,Same as HK 409. See HK 409.,,,,,,
GWS 415,GWS,415,Africana Feminisms,3 or 4 Hours,Same as AFRO 415 and AFST 420. See AFRO 415.,,,,,,
