course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
CWL 387,CWL,387,Media and Cinema in French,3 Hours,Same as FR 387 and MACS 382. See FR 387.,,,,,,
CWL 389,CWL,389,French & Comparative Cinema II,3 Hours,Same as FR 389 and MACS 383. See FR 389.,,,,,,
CWL 395,CWL,395,Special Topics Comp Lit I,3 Hours,Presentation and discussion of subjects relating literature to other disciplines; topic varies. May be repeated to a maximum of 6 hours.,,,,,,
CWL 400,CWL,400,African Diasporic Thought in the Caribbean,3 or 4 Hours,Same as AFRO 400. See AFRO 400.,,,Cultural Studies - Non-West,,,
CWL 410,CWL,410,Modern African Fiction,3 or 4 Hours,"Same as AFST 410, and ENGL 470. See AFST 410.",,,,,,
CWL 411,CWL,411,The Chinese Novel,3 or 4 Hours,Same as EALC 411. See EALC 411.,,,,,,
CWL 412,CWL,412,Mod Chinese Lit in Translation,3 or 4 Hours,Same as EALC 412. See EALC 412.,,,,,,
CWL 413,CWL,413,Dante,3 or 4 Hours,Same as ITAL 413 and MDVL 413. See ITAL 413.,,,,,,
CWL 414,CWL,414,Petrarch & Boccaccio,3 or 4 Hours,Same as ITAL 414 and MDVL 414. See ITAL 414.,,,,,,
CWL 415,CWL,415,Mod Japan Lit in Translation,2 to 4 Hours,Same as EALC 415. See EALC 415.,,,,,,
CWL 417,CWL,417,Topics in Medieval British and Irish Literature,3 or 4 Hours,Same as ENGL 412 and MDVL 410. See ENGL 412.,,,,,,
CWL 420,CWL,420,Masterpieces Renaiss Lit,3 or 4 Hours,Same as ITAL 420 and MDVL 420. See ITAL 420.,,,,,,
CWL 421,CWL,421,Jewish Life-Writing,3 or 4 Hours,"Same as HIST 436, REL 420, SLAV 420, and YDSH 420. See YDSH 420.",,,,,,
CWL 430,CWL,430,History of Translation,3 or 4 Hours,"Same as CLCV 430, ENGL 486, GER 405, SLAV 430, SPAN 436, and TRST 431. See SLAV 430.",,,,,,
CWL 434,CWL,434,Studies in Francophonie,3 or 4 Hours,Same as FR 479. See FR 479.,,,,,,
CWL 436,CWL,436,Problems of Polish Literature,3 or 4 Hours,Same as POL 446. See POL 446.,,,,,,
CWL 440,CWL,440,Russian Culture Studies,3 or 4 Hours,Same as RUSS 460. See RUSS 460.,,,,,,
CWL 441,CWL,441,Themes in Narrative,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Analysis of literary themes and types in narratives of Western and non-Western literature (e.g., the hero, east and west, dream visions), emphasizing comparative perspectives. 3 undergraduate hours. 3 or 4 graduate hours. May be repeated to a maximum of 9 undergraduate hours or 12 graduate hours. Prerequisite: One year of college literature or consent of instructor.",Prerequisite: One year of college literature or consent of instructor.,,,,,
CWL 453,CWL,453,Slavic Cultural Studies,3 or 4 Hours,Same as SLAV 452. See SLAV 452.,,,,,,
CWL 457,CWL,457,Modernism,3 or 4 Hours,Same as RUSS 424. See RUSS 424.,,,,,,
CWL 461,CWL,461,Lit Genres and Forms,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Structure and development of literary genres and forms in historical perspective (for instance, drama, parody and the grotesque, poetry, fables and fabulists, and modern fiction); essential international components and significant national variations of such genres and forms. Emphasis changes from term to term. 3 undergraduate hours. 3 or 4 graduate hours. May be repeated to a maximum of 9 undergraduate hours or 12 graduate hours. Prerequisite: One year of college literature or consent of instructor.",Prerequisite: One year of college literature or consent of instructor.,,,,,
CWL 463,CWL,463,Modern Scandinavian Drama,3 or 4 Hours,Same as SCAN 463 and THEA 483. See SCAN 463.,,,,,,
